"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4640","Test02_CreateTestSuite_ShouldSucceed","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","6154","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","18602","HomePage_ShouldLoadSuccessfully","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","14375","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","7603","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-05-29","passed","2026-05-29","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","12993","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-05-29","passed","2026-05-29","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","11599","Test01_CreateAndUpdate_ShouldSucceed","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","14565","Test05_DeleteAllInOrder_ShouldSucceed","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","21749","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-05-29","passed","2026-05-29","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","66471","CompleteProjectLifecycleFromCreationToDeletion","","2026-05-29","passed","2026-05-29","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
