"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22851","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","14986","Test05_DeleteAllInOrder_ShouldSucceed","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","11886","Test01_CreateAndUpdate_ShouldSucceed","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","13064","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-05-28","passed","2026-05-28","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","14355","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","8238","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-05-28","passed","2026-05-28","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","27673","HomePage_ShouldLoadSuccessfully","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","67911","CompleteProjectLifecycleFromCreationToDeletion","","2026-05-28","passed","2026-05-28","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","6591","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","4745","Test02_CreateTestSuite_ShouldSucceed","","2026-05-28","passed","2026-05-28","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
