"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4744","Test02_CreateTestSuite_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","11930","Test01_CreateAndUpdate_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","6242","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","66818","CompleteProjectLifecycleFromCreationToDeletion","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","7661","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","22029","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","17278","HomePage_ShouldLoadSuccessfully","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","13201","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","14734","Test05_DeleteAllInOrder_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","14537","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
