"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32819","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","11609","Test02_CreateTestSuite_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","23063","Test05_DeleteAllInOrder_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","21475","Test01_CreateAndUpdate_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","24000","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","23495","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","97111","CompleteProjectLifecycleFromCreationToDeletion","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","15262","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","49834","HomePage_ShouldLoadSuccessfully","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","35568","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
