"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4845","Test02_CreateTestSuite_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","11697","Test01_CreateAndUpdate_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","13240","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","7651","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","14401","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","17176","HomePage_ShouldLoadSuccessfully","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","22078","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","14882","Test05_DeleteAllInOrder_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","6497","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","66783","CompleteProjectLifecycleFromCreationToDeletion","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
