"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13035","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-06-01","passed","2026-06-01","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","7173","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","14539","Test05_DeleteAllInOrder_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","12012","Test01_CreateAndUpdate_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","21685","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","7467","HomePage_ShouldLoadSuccessfully","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","14023","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","8576","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-06-01","passed","2026-06-01","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","4790","Test02_CreateTestSuite_ShouldSucceed","","2026-06-01","passed","2026-06-01","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","68046","CompleteProjectLifecycleFromCreationToDeletion","","2026-06-01","passed","2026-06-01","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
