"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21149","Test01_CreateAndUpdate_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","10690","Test02_CreateTestSuite_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","25855","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","94847","CompleteProjectLifecycleFromCreationToDeletion","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","57418","HomePage_ShouldLoadSuccessfully","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","29512","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","21157","Test05_DeleteAllInOrder_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","24126","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","34199","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","13472","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
