"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7494","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-06-02","passed","2026-06-02","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","14431","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","12895","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-06-02","passed","2026-06-02","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","11862","Test01_CreateAndUpdate_ShouldSucceed","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","65965","CompleteProjectLifecycleFromCreationToDeletion","","2026-06-02","passed","2026-06-02","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","21896","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","14497","Test05_DeleteAllInOrder_ShouldSucceed","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","6081","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","4616","Test02_CreateTestSuite_ShouldSucceed","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","19407","HomePage_ShouldLoadSuccessfully","","2026-06-02","passed","2026-06-02","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
