"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6337","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","22098","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","11865","Test01_CreateAndUpdate_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","17608","HomePage_ShouldLoadSuccessfully","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","13010","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","4953","Test02_CreateTestSuite_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","14709","Test05_DeleteAllInOrder_ShouldSucceed","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","67283","CompleteProjectLifecycleFromCreationToDeletion","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","7479","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-06-06","passed","2026-06-06","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","14176","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-06-06","passed","2026-06-06","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
