"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35361","Test03_CreateTestCasesAndSteps_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","15932","CreateUser_WithoutChangingLanguage_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.UserCreationTests","LoreTest.Playwright.UserCreationTests",""
"","24279","NavigatingTheReportingDashboardAndValidatingAllReportsAndFilters","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature","LoreTest.Specs.Features.ReportingDashboardAndGroupedQAMetricsFeature",""
"","40890","HomePage_ShouldLoadSuccessfully","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.E2ETests","LoreTest.Playwright.E2ETests",""
"","99070","CompleteProjectLifecycleFromCreationToDeletion","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.ProjectManagementLifecycleFeature","LoreTest.Specs.Features.ProjectManagementLifecycleFeature",""
"","20667","Test01_CreateAndUpdate_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","31685","HomePageLoadsSuccessfullyAfterAdminAuthentication","","2026-08-31","passed","2026-08-31","","LoreTest.Specs.Features.LoginFeature","LoreTest.Specs.Features.LoginFeature",""
"","10155","Test02_CreateTestSuite_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","22522","Test05_DeleteAllInOrder_ShouldSucceed","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
"","24005","Test04_ExecuteTestRun_ShouldRecordCorrectly","","2026-08-31","passed","2026-08-31","","LoreTest.Playwright.ProjectTests","LoreTest.Playwright.ProjectTests",""
